index,accuracy,penalty
285,3,0.03125
286,3,0.03125
287,2,0.0375
288,2,0.0125
289,3,0.01875
290,3,0.01875
291,4,0.025
292,3,0.01875
293,4,0.025
294,4,0.025
295,3,0.03125
296,3,0.01875
297,4,0.025
298,4,0.025
299,3,0.03125
300,4,0.025
301,3,0.03125
302,3,0.03125
303,2,0.0375
304,3,0.01875
305,4,0.025
306,4,0.025
307,3,0.03125
308,4,0.025
309,3,0.03125
310,3,0.03125
311,2,0.0375
312,4,0.025
313,3,0.03125
314,3,0.03125
315,2,0.0375
316,3,0.03125
317,2,0.0375
318,2,0.0375
319,1,0.04375
320,2,0.0125
321,3,0.01875
322,3,0.01875
323,4,0.025
324,3,0.01875
325,4,0.025
326,4,0.025
327,3,0.03125
328,3,0.01875
329,4,0.025
330,4,0.025
331,3,0.03125
332,4,0.025
333,3,0.03125
334,3,0.03125
335,2,0.0375
336,3,0.01875
337,4,0.025
338,4,0.025
339,3,0.03125
340,4,0.025
341,3,0.03125
342,3,0.03125
343,2,0.0375
344,4,0.025
345,3,0.03125
346,3,0.03125
347,2,0.0375
348,3,0.03125
349,2,0.0375
350,2,0.0375
351,1,0.04375
352,3,0.01875
353,4,0.025
354,4,0.025
355,3,0.03125
356,4,0.025
357,3,0.03125
358,3,0.03125
359,2,0.0375
360,4,0.025
361,3,0.03125
362,3,0.03125
363,2,0.0375
364,3,0.03125
365,2,0.0375
366,2,0.0375
367,1,0.04375
368,4,0.025
369,3,0.03125
370,3,0.03125
371,2,0.0375
372,3,0.03125
373,2,0.0375
374,2,0.0375
375,1,0.04375
376,3,0.03125
377,2,0.0375
378,2,0.0375
379,1,0.04375
380,2,0.0375
381,1,0.04375
382,1,0.04375
383,0,0.05
384,2,0.0125
385,3,0.01875
386,3,0.01875
387,4,0.025
388,3,0.01875
389,4,0.025
390,4,0.025
391,3,0.03125
392,3,0.01875
393,4,0.025
394,4,0.025
395,3,0.03125
396,4,0.025
397,3,0.03125
398,3,0.03125
399,2,0.0375
400,3,0.01875
401,4,0.025
402,4,0.025
403,3,0.03125
404,4,0.025
405,3,0.03125
406,3,0.03125
407,2,0.0375
408,4,0.025
409,3,0.03125
410,3,0.03125
411,2,0.0375
412,3,0.03125
413,2,0.0375
414,2,0.0375
415,1,0.04375
416,3,0.01875
417,4,0.025
418,4,0.025
419,3,0.03125
420,4,0.025
421,3,0.03125
422,3,0.03125
423,2,0.0375
424,4,0.025
425,3,0.03125
426,3,0.03125
427,2,0.0375
428,3,0.03125
429,2,0.0375
430,2,0.0375
431,1,0.04375
432,4,0.025
433,3,0.03125
434,3,0.03125
435,2,0.0375
436,3,0.03125
437,2,0.0375
438,2,0.0375
439,1,0.04375
440,3,0.03125
441,2,0.0375
442,2,0.0375
443,1,0.04375
444,2,0.0375
445,1,0.04375
446,1,0.04375
447,0,0.05
448,3,0.01875
449,4,0.025
450,4,0.025
451,3,0.03125
452,4,0.025
453,3,0.03125
454,3,0.03125
455,2,0.0375
456,4,0.025
457,3,0.03125
458,3,0.03125
459,2,0.0375
460,3,0.03125
461,2,0.0375
462,2,0.0375
463,1,0.04375
464,4,0.025
465,3,0.03125
466,3,0.03125
467,2,0.0375
468,3,0.03125
469,2,0.0375
470,2,0.0375
471,1,0.04375
472,3,0.03125
473,2,0.0375
474,2,0.0375
475,1,0.04375
476,2,0.0375
477,1,0.04375
478,1,0.04375
479,0,0.05
480,4,0.025
481,3,0.03125
482,3,0.03125
483,2,0.0375
484,3,0.03125
485,2,0.0375
486,2,0.0375
487,1,0.04375
488,3,0.03125
489,2,0.0375
490,2,0.0375
491,1,0.04375
492,2,0.0375
493,1,0.04375
494,1,0.04375
495,0,0.05
496,3,0.03125
497,2,0.0375
498,2,0.0375
499,1,0.04375
500,2,0.0375
501,1,0.04375
502,1,0.04375
503,0,0.05
504,2,0.0375
505,1,0.04375
506,1,0.04375
507,0,0.05
508,1,0.04375
509,0,0.05
510,0,0.05
511,1,0.05625
512,1,0.00625
513,2,0.0125
514,2,0.0125
515,3,0.01875
516,2,0.0125
517,3,0.01875
518,3,0.01875
519,4,0.025
520,2,0.0125
521,3,0.01875
522,3,0.01875
523,4,0.025
524,3,0.01875
525,4,0.025
526,4,0.025
527,3,0.03125
528,2,0.0125
529,3,0.01875
530,3,0.01875
531,4,0.025
532,3,0.01875
533,4,0.025
534,4,0.025
535,3,0.03125
536,3,0.01875
537,4,0.025
538,4,0.025
539,3,0.03125
540,4,0.025
541,3,0.03125
542,3,0.03125
543,2,0.0375
544,2,0.0125
545,3,0.01875
546,3,0.01875
547,4,0.025
548,3,0.01875
549,4,0.025
550,4,0.025
551,3,0.03125
552,3,0.01875
553,4,0.025
554,4,0.025
555,3,0.03125
556,4,0.025
557,3,0.03125
558,3,0.03125
559,2,0.0375
560,3,0.01875
561,4,0.025
562,4,0.025
563,3,0.03125
564,4,0.025
565,3,0.03125
566,3,0.03125
567,2,0.0375
568,4,0.025
569,3,0.03125
570,3,0.03125
571,2,0.0375
572,3,0.03125
573,2,0.0375
574,2,0.0375
575,1,0.04375
576,2,0.0125
577,3,0.01875
578,3,0.01875
579,4,0.025
580,3,0.01875
581,4,0.025
582,4,0.025
583,3,0.03125
584,3,0.01875
585,4,0.025
586,4,0.025
587,3,0.03125
588,4,0.025
589,3,0.03125
590,3,0.03125
591,2,0.0375
592,3,0.01875
593,4,0.025
594,4,0.025
595,3,0.03125
596,4,0.025
597,3,0.03125
598,3,0.03125
599,2,0.0375
600,4,0.025
601,3,0.03125
602,3,0.03125
603,2,0.0375
604,3,0.03125
605,2,0.0375
606,2,0.0375
607,1,0.04375
608,3,0.01875
609,4,0.025
610,4,0.025
611,3,0.03125
612,4,0.025
613,3,0.03125
614,3,0.03125
615,2,0.0375
616,4,0.025
617,3,0.03125
618,3,0.03125
619,2,0.0375
620,3,0.03125
621,2,0.0375
622,2,0.0375
623,1,0.04375
624,4,0.025
625,3,0.03125
626,3,0.03125
627,2,0.0375
628,3,0.03125
629,2,0.0375
630,2,0.0375
631,1,0.04375
632,3,0.03125
633,2,0.0375
634,2,0.0375
635,1,0.04375
636,2,0.0375
637,1,0.04375
638,1,0.04375
639,0,0.05
640,2,0.0125
641,3,0.01875
642,3,0.01875
643,4,0.025
644,3,0.01875
645,4,0.025
646,4,0.025
647,3,0.03125
648,3,0.01875
649,4,0.025
650,4,0.025
651,3,0.03125
652,4,0.025
653,3,0.03125
654,3,0.03125
655,2,0.0375
656,3,0.01875
657,4,0.025
658,4,0.025
659,3,0.03125
660,4,0.025
661,3,0.03125
662,3,0.03125
663,2,0.0375
664,4,0.025
665,3,0.03125
666,3,0.03125
667,2,0.0375
668,3,0.03125
669,2,0.0375
670,2,0.0375
671,1,0.04375
672,3,0.01875
673,4,0.025
674,4,0.025
675,3,0.03125
676,4,0.025
677,3,0.03125
678,3,0.03125
679,2,0.0375
680,4,0.025
681,3,0.03125
682,3,0.03125
683,2,0.0375
684,3,0.03125
685,2,0.0375
686,2,0.0375
687,1,0.04375
688,4,0.025
689,3,0.03125
690,3,0.03125
691,2,0.0375
692,3,0.03125
693,2,0.0375
694,2,0.0375
695,1,0.04375
696,3,0.03125
697,2,0.0375
698,2,0.0375
699,1,0.04375
700,2,0.0375
701,1,0.04375
702,1,0.04375
703,0,0.05
704,3,0.01875
705,4,0.025
706,4,0.025
707,3,0.03125
708,4,0.025
709,3,0.03125
710,3,0.03125
711,2,0.0375
712,4,0.025
713,3,0.03125
714,3,0.03125
715,2,0.0375
716,3,0.03125
717,2,0.0375
718,2,0.0375
719,1,0.04375
720,4,0.025
721,3,0.03125
722,3,0.03125
723,2,0.0375
724,3,0.03125
725,2,0.0375
726,2,0.0375
727,1,0.04375
728,3,0.03125
729,2,0.0375
730,2,0.0375
731,1,0.04375
732,2,0.0375
733,1,0.04375
734,1,0.04375
735,0,0.05
736,4,0.025
737,3,0.03125
738,3,0.03125
739,2,0.0375
740,3,0.03125
741,2,0.0375
742,2,0.0375
743,1,0.04375
744,3,0.03125
745,2,0.0375
746,2,0.0375
747,1,0.04375
748,2,0.0375
749,1,0.04375
750,1,0.04375
751,0,0.05
752,3,0.03125
753,2,0.0375
754,2,0.0375
755,1,0.04375
756,2,0.0375
757,1,0.04375
758,1,0.04375
759,0,0.05
760,2,0.0375
761,1,0.04375
762,1,0.04375
763,0,0.05
764,1,0.04375
765,0,0.05
766,0,0.05
767,1,0.05625
768,2,0.0125
769,3,0.01875
770,3,0.01875
771,4,0.025
772,3,0.01875
773,4,0.025
774,4,0.025
775,3,0.03125
776,3,0.01875
777,4,0.025
778,4,0.025
779,3,0.03125
780,4,0.025
781,3,0.03125
782,3,0.03125
783,2,0.0375
784,3,0.01875
785,4,0.025
786,4,0.025
787,3,0.03125
788,4,0.025
789,3,0.03125
790,3,0.03125
791,2,0.0375
792,4,0.025
793,3,0.03125
794,3,0.03125
795,2,0.0375
796,3,0.03125
797,2,0.0375
798,2,0.0375
799,1,0.04375
800,3,0.01875
801,4,0.025
802,4,0.025
803,3,0.03125
804,4,0.025
805,3,0.03125
806,3,0.03125
807,2,0.0375
808,4,0.025
809,3,0.03125
810,3,0.03125
811,2,0.0375
812,3,0.03125
813,2,0.0375
814,2,0.0375
815,1,0.04375
816,4,0.025
817,3,0.03125
818,3,0.03125
819,2,0.0375
820,3,0.03125
821,2,0.0375
822,2,0.0375
823,1,0.04375
824,3,0.03125
825,2,0.0375
826,2,0.0375
827,1,0.04375
828,2,0.0375
829,1,0.04375
830,1,0.04375
831,0,0.05
832,3,0.01875
833,4,0.025
834,4,0.025
835,3,0.03125
836,4,0.025
837,3,0.03125
838,3,0.03125
839,2,0.0375
840,4,0.025
841,3,0.03125
842,3,0.03125
843,2,0.0375
844,3,0.03125
845,2,0.0375
846,2,0.0375
847,1,0.04375
848,4,0.025
849,3,0.03125
850,3,0.03125
851,2,0.0375
852,3,0.03125
853,2,0.0375
854,2,0.0375
855,1,0.04375
856,3,0.03125
857,2,0.0375
858,2,0.0375
859,1,0.04375
860,2,0.0375
861,1,0.04375
862,1,0.04375
863,0,0.05
864,4,0.025
865,3,0.03125
866,3,0.03125
867,2,0.0375
868,3,0.03125
869,2,0.0375
870,2,0.0375
871,1,0.04375
872,3,0.03125
873,2,0.0375
874,2,0.0375
875,1,0.04375
876,2,0.0375
877,1,0.04375
878,1,0.04375
879,0,0.05
880,3,0.03125
881,2,0.0375
882,2,0.0375
883,1,0.04375
884,2,0.0375
885,1,0.04375
886,1,0.04375
887,0,0.05
888,2,0.0375
889,1,0.04375
890,1,0.04375
891,0,0.05
892,1,0.04375
893,0,0.05
894,0,0.05
895,1,0.05625
896,3,0.01875
897,4,0.025
898,4,0.025
899,3,0.03125
900,4,0.025
901,3,0.03125
902,3,0.03125
903,2,0.0375
904,4,0.025
905,3,0.03125
906,3,0.03125
907,2,0.0375
908,3,0.03125
909,2,0.0375
910,2,0.0375
911,1,0.04375
912,4,0.025
913,3,0.03125
914,3,0.03125
915,2,0.0375
916,3,0.03125
917,2,0.0375
918,2,0.0375
919,1,0.04375
920,3,0.03125
921,2,0.0375
922,2,0.0375
923,1,0.04375
924,2,0.0375
925,1,0.04375
926,1,0.04375
927,0,0.05
928,4,0.025
929,3,0.03125
930,3,0.03125
931,2,0.0375
932,3,0.03125
933,2,0.0375
934,2,0.0375
935,1,0.04375
936,3,0.03125
937,2,0.0375
938,2,0.0375
939,1,0.04375
940,2,0.0375
941,1,0.04375
942,1,0.04375
943,0,0.05
944,3,0.03125
945,2,0.0375
946,2,0.0375
947,1,0.04375
948,2,0.0375
949,1,0.04375
950,1,0.04375
951,0,0.05
952,2,0.0375
953,1,0.04375
954,1,0.04375
955,0,0.05
956,1,0.04375
957,0,0.05
958,0,0.05
959,1,0.05625
960,4,0.025
961,3,0.03125
962,3,0.03125
963,2,0.0375
964,3,0.03125
965,2,0.0375
966,2,0.0375
967,1,0.04375
968,3,0.03125
969,2,0.0375
970,2,0.0375
971,1,0.04375
972,2,0.0375
973,1,0.04375
974,1,0.04375
975,0,0.05
976,3,0.03125
977,2,0.0375
978,2,0.0375
979,1,0.04375
980,2,0.0375
981,1,0.04375
982,1,0.04375
983,0,0.05
984,2,0.0375
985,1,0.04375
986,1,0.04375
987,0,0.05
988,1,0.04375
989,0,0.05
990,0,0.05
991,1,0.05625
992,3,0.03125
993,2,0.0375
994,2,0.0375
995,1,0.04375
996,2,0.0375
997,1,0.04375
998,1,0.04375
999,0,0.05
1000,2,0.0375
1001,1,0.04375
1002,1,0.04375
1003,0,0.05
1004,1,0.04375
1005,0,0.05
1006,0,0.05
1007,1,0.05625
1008,2,0.0375
1009,1,0.04375
1010,1,0.04375
1011,0,0.05
1012,1,0.04375
1013,0,0.05
1014,0,0.05
1015,1,0.05625
1016,1,0.04375
1017,0,0.05
1018,0,0.05
1019,1,0.05625
1020,0,0.05
1021,1,0.05625
1022,1,0.05625
1023,2,0.0625
1024,1,0.00625
1025,2,0.0125
1026,2,0.0125
1027,3,0.01875
1028,2,0.0125
1029,3,0.01875
1030,3,0.01875
1031,4,0.025
1032,2,0.0125
1033,3,0.01875
1034,3,0.01875
1035,4,0.025
1036,3,0.01875
1037,4,0.025
1038,4,0.025
1039,3,0.03125
1040,2,0.0125
1041,3,0.01875
1042,3,0.01875
1043,4,0.025
1044,3,0.01875
1045,4,0.025
1046,4,0.025
1047,3,0.03125
1048,3,0.01875
1049,4,0.025
1050,4,0.025
1051,3,0.03125
1052,4,0.025
1053,3,0.03125
1054,3,0.03125
1055,2,0.0375
1056,2,0.0125
1057,3,0.01875
1058,3,0.01875
1059,4,0.025
1060,3,0.01875
1061,4,0.025
1062,4,0.025
1063,3,0.03125
1064,3,0.01875
1065,4,0.025
1066,4,0.025
1067,3,0.03125
1068,4,0.025
1069,3,0.03125
1070,3,0.03125
1071,2,0.0375
1072,3,0.01875
1073,4,0.025
1074,4,0.025
1075,3,0.03125
1076,4,0.025
1077,3,0.03125
1078,3,0.03125
1079,2,0.0375
1080,4,0.025
1081,3,0.03125
1082,3,0.03125
1083,2,0.0375
1084,3,0.03125
1085,2,0.0375
1086,2,0.0375
1087,1,0.04375
1088,2,0.0125
1089,3,0.01875
1090,3,0.01875
1091,4,0.025
1092,3,0.01875
1093,4,0.025
1094,4,0.025
1095,3,0.03125
1096,3,0.01875
1097,4,0.025
1098,4,0.025
1099,3,0.03125
1100,4,0.025
1101,3,0.03125
1102,3,0.03125
1103,2,0.0375
1104,3,0.01875
1105,4,0.025
1106,4,0.025
1107,3,0.03125
1108,4,0.025
1109,3,0.03125
1110,3,0.03125
1111,2,0.0375
1112,4,0.025
1113,3,0.03125
1114,3,0.03125
1115,2,0.0375
1116,3,0.03125
1117,2,0.0375
1118,2,0.0375
1119,1,0.04375
1120,3,0.01875
1121,4,0.025
1122,4,0.025
1123,3,0.03125
1124,4,0.025
1125,3,0.03125
1126,3,0.03125
1127,2,0.0375
1128,4,0.025
1129,3,0.03125
1130,3,0.03125
1131,2,0.0375
1132,3,0.03125
1133,2,0.0375
1134,2,0.0375
1135,1,0.04375
1136,4,0.025
1137,3,0.03125
1138,3,0.03125
1139,2,0.0375
1140,3,0.03125
1141,2,0.0375
1142,2,0.0375
1143,1,0.04375
1144,3,0.03125
1145,2,0.0375
1146,2,0.0375
1147,1,0.04375
1148,2,0.0375
1149,1,0.04375
1150,1,0.04375
1151,0,0.05
1152,2,0.0125
1153,3,0.01875
1154,3,0.01875
1155,4,0.025
1156,3,0.01875
1157,4,0.025
1158,4,0.025
1159,3,0.03125
1160,3,0.01875
1161,4,0.025
1162,4,0.025
1163,3,0.03125
1164,4,0.025
1165,3,0.03125
1166,3,0.03125
1167,2,0.0375
1168,3,0.01875
1169,4,0.025
1170,4,0.025
1171,3,0.03125
1172,4,0.025
1173,3,0.03125
1174,3,0.03125
1175,2,0.0375
1176,4,0.025
1177,3,0.03125
1178,3,0.03125
1179,2,0.0375
1180,3,0.03125
1181,2,0.0375
1182,2,0.0375
1183,1,0.04375
1184,3,0.01875
1185,4,0.025
1186,4,0.025
1187,3,0.03125
1188,4,0.025
1189,3,0.03125
1190,3,0.03125
1191,2,0.0375
1192,4,0.025
1193,3,0.03125
1194,3,0.03125
1195,2,0.0375
1196,3,0.03125
1197,2,0.0375
1198,2,0.0375
1199,1,0.04375
1200,4,0.025
1201,3,0.03125
1202,3,0.03125
1203,2,0.0375
1204,3,0.03125
1205,2,0.0375
1206,2,0.0375
1207,1,0.04375
1208,3,0.03125
1209,2,0.0375
1210,2,0.0375
1211,1,0.04375
1212,2,0.0375
1213,1,0.04375
1214,1,0.04375
1215,0,0.05
1216,3,0.01875
1217,4,0.025
1218,4,0.025
1219,3,0.03125
1220,4,0.025
1221,3,0.03125
1222,3,0.03125
1223,2,0.0375
1224,4,0.025
1225,3,0.03125
1226,3,0.03125
1227,2,0.0375
1228,3,0.03125
1229,2,0.0375
1230,2,0.0375
1231,1,0.04375
1232,4,0.025
1233,3,0.03125
1234,3,0.03125
1235,2,0.0375
1236,3,0.03125
1237,2,0.0375
1238,2,0.0375
1239,1,0.04375
1240,3,0.03125
1241,2,0.0375
1242,2,0.0375
1243,1,0.04375
1244,2,0.0375
1245,1,0.04375
1246,1,0.04375
1247,0,0.05
1248,4,0.025
1249,3,0.03125
1250,3,0.03125
1251,2,0.0375
1252,3,0.03125
1253,2,0.0375
1254,2,0.0375
1255,1,0.04375
1256,3,0.03125
1257,2,0.0375
1258,2,0.0375
1259,1,0.04375
1260,2,0.0375
1261,1,0.04375
1262,1,0.04375
1263,0,0.05
1264,3,0.03125
1265,2,0.0375
1266,2,0.0375
1267,1,0.04375
1268,2,0.0375
1269,1,0.04375
1270,1,0.04375
1271,0,0.05
1272,2,0.0375
1273,1,0.04375
1274,1,0.04375
1275,0,0.05
1276,1,0.04375
1277,0,0.05
1278,0,0.05
1279,1,0.05625
1280,2,0.0125
1281,3,0.01875
1282,3,0.01875
1283,4,0.025
1284,3,0.01875
1285,4,0.025
1286,4,0.025
1287,3,0.03125
1288,3,0.01875
1289,4,0.025
1290,4,0.025
1291,3,0.03125
1292,4,0.025
1293,3,0.03125
1294,3,0.03125
1295,2,0.0375
1296,3,0.01875
1297,4,0.025
1298,4,0.025
1299,3,0.03125
1300,4,0.025
1301,3,0.03125
1302,3,0.03125
1303,2,0.0375
1304,4,0.025
1305,3,0.03125
1306,3,0.03125
1307,2,0.0375
1308,3,0.03125
1309,2,0.0375
1310,2,0.0375
1311,1,0.04375
1312,3,0.01875
1313,4,0.025
1314,4,0.025
1315,3,0.03125
1316,4,0.025
1317,3,0.03125
1318,3,0.03125
1319,2,0.0375
1320,4,0.025
1321,3,0.03125
1322,3,0.03125
1323,2,0.0375
1324,3,0.03125
1325,2,0.0375
1326,2,0.0375
1327,1,0.04375
1328,4,0.025
1329,3,0.03125
1330,3,0.03125
1331,2,0.0375
1332,3,0.03125
1333,2,0.0375
1334,2,0.0375
1335,1,0.04375
1336,3,0.03125
1337,2,0.0375
1338,2,0.0375
1339,1,0.04375
1340,2,0.0375
1341,1,0.04375
1342,1,0.04375
1343,0,0.05
1344,3,0.01875
1345,4,0.025
1346,4,0.025
1347,3,0.03125
1348,4,0.025
1349,3,0.03125
1350,3,0.03125
1351,2,0.0375
1352,4,0.025
1353,3,0.03125
1354,3,0.03125
1355,2,0.0375
1356,3,0.03125
1357,2,0.0375
1358,2,0.0375
1359,1,0.04375
1360,4,0.025
1361,3,0.03125
1362,3,0.03125
1363,2,0.0375
1364,3,0.03125
1365,2,0.0375
1366,2,0.0375
1367,1,0.04375
1368,3,0.03125
1369,2,0.0375
1370,2,0.0375
1371,1,0.04375
1372,2,0.0375
1373,1,0.04375
1374,1,0.04375
1375,0,0.05
1376,4,0.025
1377,3,0.03125
1378,3,0.03125
1379,2,0.0375
1380,3,0.03125
1381,2,0.0375
1382,2,0.0375
1383,1,0.04375
1384,3,0.03125
1385,2,0.0375
1386,2,0.0375
1387,1,0.04375
1388,2,0.0375
1389,1,0.04375
1390,1,0.04375
1391,0,0.05
1392,3,0.03125
1393,2,0.0375
1394,2,0.0375
1395,1,0.04375
1396,2,0.0375
1397,1,0.04375
1398,1,0.04375
1399,0,0.05
1400,2,0.0375
1401,1,0.04375
1402,1,0.04375
1403,0,0.05
1404,1,0.04375
1405,0,0.05
1406,0,0.05
1407,1,0.05625
1408,3,0.01875
1409,4,0.025
1410,4,0.025
1411,3,0.03125
1412,4,0.025
1413,3,0.03125
1414,3,0.03125
1415,2,0.0375
1416,4,0.025
1417,3,0.03125
1418,3,0.03125
1419,2,0.0375
1420,3,0.03125
1421,2,0.0375
1422,2,0.0375
1423,1,0.04375
1424,4,0.025
1425,3,0.03125
1426,3,0.03125
1427,2,0.0375
1428,3,0.03125
1429,2,0.0375
1430,2,0.0375
1431,1,0.04375
1432,3,0.03125
1433,2,0.0375
1434,2,0.0375
1435,1,0.04375
1436,2,0.0375
1437,1,0.04375
1438,1,0.04375
1439,0,0.05
1440,4,0.025
1441,3,0.03125
1442,3,0.03125
1443,2,0.0375
1444,3,0.03125
1445,2,0.0375
1446,2,0.0375
1447,1,0.04375
1448,3,0.03125
1449,2,0.0375
1450,2,0.0375
1451,1,0.04375
1452,2,0.0375
1453,1,0.04375
1454,1,0.04375
1455,0,0.05
1456,3,0.03125
1457,2,0.0375
1458,2,0.0375
1459,1,0.04375
1460,2,0.0375
1461,1,0.04375
1462,1,0.04375
1463,0,0.05
1464,2,0.0375
1465,1,0.04375
1466,1,0.04375
1467,0,0.05
1468,1,0.04375
1469,0,0.05
1470,0,0.05
1471,1,0.05625
1472,4,0.025
1473,3,0.03125
1474,3,0.03125
1475,2,0.0375
1476,3,0.03125
1477,2,0.0375
1478,2,0.0375
1479,1,0.04375
1480,3,0.03125
1481,2,0.0375
1482,2,0.0375
1483,1,0.04375
1484,2,0.0375
1485,1,0.04375
1486,1,0.04375
1487,0,0.05
1488,3,0.03125
1489,2,0.0375
1490,2,0.0375
1491,1,0.04375
1492,2,0.0375
1493,1,0.04375
1494,1,0.04375
1495,0,0.05
1496,2,0.0375
1497,1,0.04375
1498,1,0.04375
1499,0,0.05
1500,1,0.04375
1501,0,0.05
1502,0,0.05
1503,1,0.05625
1504,3,0.03125
1505,2,0.0375
1506,2,0.0375
1507,1,0.04375
1508,2,0.0375
1509,1,0.04375
1510,1,0.04375
1511,0,0.05
1512,2,0.0375
1513,1,0.04375
1514,1,0.04375
1515,0,0.05
1516,1,0.04375
1517,0,0.05
1518,0,0.05
1519,1,0.05625
1520,2,0.0375
1521,1,0.04375
1522,1,0.04375
1523,0,0.05
1524,1,0.04375
1525,0,0.05
1526,0,0.05
1527,1,0.05625
1528,1,0.04375
1529,0,0.05
1530,0,0.05
1531,1,0.05625
1532,0,0.05
1533,1,0.05625
1534,1,0.05625
